10-14 years old,15-19 years old,20-24 years old,25-29 years old,30-34 years old,35-49 years old,50-69 years old,70+ years old
1.82578134,4.189778952,5.751063498,5.834146091,5.911487331,5.790491889,5.902625454,5.537572733
1.580259015,3.272228241,4.311311036,4.458821357,4.631758171,4.639778475,5.039819511,4.940447382
1.686389284,3.337203472,3.862274525,4.258208816,4.693615541,4.414265299,5.315762962,4.776322177
0.902622673,1.778475541,2.156153064,2.55416839,2.988537767,3.17304236,6.052816082,6.271968644
0.995024121,2.172628274,2.593323264,2.717938845,2.797246008,2.741524101,4.376042213,5.634410423
1.587203899,3.281335749,3.433020109,3.585062356,3.790892549,3.812510431,6.62220474,8.165684454
1.133720912,2.394734828,2.607677317,2.729511941,3.003670653,3.366008398,6.016425075,6.187601414
1.219926745,2.732437752,3.040651147,3.027361624,3.166795153,3.276768656,6.01193398,6.267687155
1.179493833,2.6403325,3.297448132,3.710766021,4.110801064,3.857437692,6.642680199,8.164160329
1.063333965,2.445942719,2.909816736,2.849146767,2.921582115,3.084879886,5.453611352,5.793142243
1.407846124,3.290017622,3.983521675,3.852752453,3.840109036,4.013592469,5.072708335,5.015472656
1.745167558,3.428075556,3.988507406,4.455658671,4.842652609,4.733784543,6.102242134,5.861700514
1.820093834,3.429408757,3.807509004,4.363078838,4.812289359,4.589840799,5.504971666,5.048042633
1.073907005,2.480688017,3.095270856,3.024609589,2.978731749,3.053021499,4.665578084,6.252450469
2.153820146,4.448766625,4.536881209,4.706778998,5.010001129,5.003711448,8.848451407,11.08286092
1.180656356,2.915953601,3.93846881,4.3040634,4.547177719,4.538861715,7.141280866,9.045234011
1.365809238,2.694457709,3.134621154,3.289402826,3.622626377,3.807138134,4.245110159,4.061729017
1.798224525,3.73214736,4.718989666,5.126420918,5.448842401,5.252410991,5.388172538,5.084447438
2.698860777,6.266543744,6.667457951,6.266791414,6.201450525,6.543941551,5.325072967,3.81574757
1.333829806,2.810412224,3.185560036,3.201733849,3.25743091,3.427634863,4.706519009,4.802490914
1.573925363,3.896684737,5.068895022,4.668090729,4.462371975,4.627591236,4.688013691,4.246139788
1.060670032,2.529782611,3.213767847,3.162866436,3.12852428,3.170070826,4.780535631,6.258693852
1.048322765,2.640822621,3.363991898,3.264110324,3.298345469,3.407710433,5.796449846,5.98676828
1.042161164,2.42023418,3.103795284,3.21262828,3.279475899,3.233951771,4.681913231,4.978868084
1.05321845,2.243649417,2.446135185,2.618439342,2.863142908,3.012576964,5.621733225,5.924872188
2.054480026,3.890180948,4.820068174,5.123354395,5.399936218,5.212179288,5.167841145,4.835393747
1.617898485,3.446661822,4.387852806,5.032737405,5.564564135,4.999408139,6.034107167,5.208564973
1.419526155,3.0194453,3.321449358,3.545766913,3.822225997,3.732883885,6.673025833,7.91172103
-,2.393048791,2.91006952,3.086543044,3.32379627,3.233777118,5.790472508,7.503118557
